"code NSF";"code scolarité";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"niveau de sortie indicatif";"code RNCP";"niveau de certification";"libellé niveau de certification";tutelle;"URL et ID Onisep";domaine/sous-domaine;"date création";"date de modification"
201;;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'université de technologie de Troyes spécialité automatique et informatique industrielle en convention avec l'université de Reims";UTT;"3 ans";"bac + 5";37955;1;"niveau 7";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.6271;"mécanique/automatismes | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | informatique, Internet/informatique industrielle et technologique | matières premières, fabrication, industries/méthodes industrialisation | information-communication, audiovisuel/multimédia";06/06/2020;26/11/2025
242;42024210;DTMS;"diplôme de technicien des métiers du spectacle";"DTMS métiers du spectacle option techniques de l'habillage";;"2 ans";"bac ou équivalent";39029;4;"niveau 4";"Ministère chargé de l'Éducation nationale";https://www.onisep.fr/http/redirection/formation/slug/FOR.10573;"arts, culture, artisanat/arts du spectacle | matières premières, fabrication, industries/textile, habillement";08/10/2024;18/12/2025
311;;;"formation d'école spécialisée";"pilote de ligne (ENAC)";;"2 ans";"bac + 3";;2;"niveau 6";"Ministère chargé des transports";https://www.onisep.fr/http/redirection/formation/slug/FOR.2360;"logistique, transport/transport";06/06/2020;02/07/2024
333;;;"diplôme d'État du paramédical";"diplôme d'État du certificat d'aptitude au professorat de l'enseignement des jeunes sourds";CAPEJS;"2 ans";"bac + 5";37573;1;"niveau 7";"Ministère des Solidarités et de la Santé";https://www.onisep.fr/http/redirection/formation/slug/FOR.9066;"lettres, langues, enseignement/enseignement";11/07/2023;07/01/2025
;;;"formation d'école spécialisée";"bachelor développeur informatique - jeu vidéo";;"3 ans";"bac + 3";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.8620;"arts, culture, artisanat/arts graphiques | informatique, Internet/développement, programmation, logiciel | information-communication, audiovisuel/multimédia";23/02/2023;07/03/2023
310;26531028;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"bachelor en sciences du management - diplôme d'études supérieures en management international";IBBA;"4 ans";"bac + 4";39189;2;"niveau 6";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.10723;"gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/commerce international";13/11/2024;04/02/2026
;;CPI;"cycle préparatoire intégré";"cycle préparatoire intégré de l'Icam Toulouse - La prépa professionnalisante (partenariat avec un lycée) BTS ATI";ICAM;"2 ans";"bac + 2";;0;"non inscrit au RNCP";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.9642;"mécanique/automatismes | électricité, électronique, robotique/électrotechnique | matières premières, fabrication, industries/fonction production (généralités) | informatique, Internet/informatique (généralités) | sciences/mathématiques | mécanique/mécanique (généralités) | sciences/physique";28/12/2023;12/09/2024
335;13533520;;master;"master mention sciences et techniques des activités physiques et sportives : sciences et techniques des activités physiques et sportives";STAPS;"2 ans";"bac + 5";;1;"niveau 7";"Ministère de l'Enseignement supérieur et de la Recherche";https://www.onisep.fr/http/redirection/formation/slug/FOR.4821;"santé, social, sport/sport";06/06/2020;09/09/2025
"310 | 326 | 312";26531001;;"bachelor en sciences et ingénierie";"bachelor en sciences et ingénierie - systèmes d'information";EPF;"3 ans";"bac + 3";41005;2;"niveau 6";"non renseigné";https://www.onisep.fr/http/redirection/formation/slug/FOR.12041;"gestion des entreprises, comptabilité/administration de l'entreprise | informatique, Internet/bases de données | informatique, Internet/informatique (généralités) | commerce, marketing, vente/marketing, vente | informatique, Internet/systèmes et réseaux";03/10/2025;03/10/2025
310;;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"bachelor en sciences du management - diplôme d'enseignement supérieur en management des affaires internationales";;"4 ans";"bac + 4";40724;2;"niveau 6";"Ministère de l'Enseignement supérieur et de la Recherche";https://www.onisep.fr/http/redirection/formation/slug/FOR.11692;"gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/commerce international | commerce, marketing, vente/marketing, vente";21/07/2025;27/08/2025
